recipient_id,recipient_name,recipient_email,campaign_id,campaign_name,campaign_type,send_date,opened_date,clicked_date,bounced,transaction_id,transaction_date,transaction_amount
100000,Morgan Andersson,morgan.andersson+100000@example.com,3,Offers tailored just for you,promo,2025-07-10,,,False,,,
100001,Dakota Johansson,dakota.johansson+100001@example.com,5,Our monthly newsletter,newsletter,2025-11-24,,,True,500001.0,2025-12-23,USD 75.00
100002,Charlie Andersson,charlie.andersson+100002@example.com,5,Our monthly newsletter,newsletter,2025-06-04,2025-06-06,2025-06-08,False,500002.0,2025-06-04,41.43
100003,Jamie Wilson,jamie.wilson+100003@example.com,3,Offers tailored just for you,promotions,2025-08-04,,,False,500003.0,2025-08-15,63.83
100004,Quinn Larsson,quinn.larsson+100004@example.com,3,Offers tailored just for you,promo,2026-10-21,2026-10-21,,False,500004.0,2026-12-08,103.3
100005,Taylor Lewis,taylor.lewis+100005@example.com,3,Offers tailored just for you,promo,2026-10-07,2026-10-07,,False,500005.0,2026-10-31,39.3
100006,Taylor Berg,taylor.berg+100006@example.com,2,You almost completed your order,abandoned cart,2026-08-24,2026-08-24,,False,500006.0,2026-10-21,39.3
100007,Robin Karlsson,robin.karlsson+100007@example.com,3,Offers tailored just for you,promo,2025-10-03,2025-10-04,,False,500007.0,2025-11-03,106.54
100008,Jamie Martin,jamie.martin+100008@example.com,4,Thanks for choosing us,transactional,2025-07-29,2025-07-30,,False,,,
100009,Jordan Lindberg,jordan.lindberg+100009@example.com,1,Welcome to the club,welcome,2026-09-18,2026-09-19,,False,500009.0,2026-10-28,68.18
100010,Riley Taylor,riley.taylor+100010@example.com,4,Thanks for choosing us,transactional,2026-11-19,2026-11-20,2026-11-22,False,500010.0,2027-02-01,34.53
100011,Blake Brown,blake.brown+100011@example.com,3,Offers tailored just for you,promo,2025-06-20,2025-06-23,2025-06-23,False,,,
100012,Casey Karlsson,casey.karlsson+100012@example.com,4,Thanks for choosing us,transactional,2026-04-09,2026-04-09,2026-04-09,False,,,
100013,Alex Larsson,alex.larsson+100013@example.com,5,Our monthly newsletter,newsletter,2026-08-07,2026-08-07,2026-08-08,False,500013.0,2026-09-09,60.24
100014,Charlie Karlsson,charlie.karlsson+100014@example.com,5,Our monthly newsletter,newsletter,2026-12-10,2026-12-13,,False,500014.0,2026-12-30,34.64
100015,Dakota Clark,dakota.clark+100015@example.com,1,Welcome to the club,welcome,2026-04-11,2026-04-13,,False,,,
100016,Drew Lindberg,drew.lindberg+100016@example.com,1,Welcome to the club,welcome,2025-07-07,2025-07-06,,False,500016.0,2025-09-07,34.6
100017,Taylor Lewis,taylor.lewis+100017@example.com,2,Welcome to the club,abandoned cart,2025-04-10,,,False,500017.0,2025-06-16,51.06
100018,Finley Wilson,finley.wilson+100018@example.com,2,You almost completed your order,abandoned cart,2026-12-23,,,False,500018.0,2027-01-31,15.61
100019,Quinn Smith,quinn.smith+100019@example.com,4,Thanks for choosing us,transactional,2026-11-30,2026-12-02,2026-12-02,False,,,
100020,Avery Lindberg,avery.lindberg+100020@example.com,1,Welcome to the club,welcome,2025-02-25,2025-02-25,2025-02-25,False,,,
100021,Taylor Clark,taylor.clark+100021@example.com,2,You almost completed your order,abandoned cart,2025-08-05,2025-08-06,,False,,,
100022,Emerson Taylor,emerson.taylor+100022@example.com,2,You almost completed your order,abandoned cart,2026-09-02,2026-09-02,2026-09-04,False,500022.0,2026-10-24,17.31
100023,Parker Berg,parker.berg+100023@example.com,1,Our monthly newsletter,welcome,2025-02-17,2025-02-17,2025-02-18,False,500023.0,2025-03-06,32.81
100024,Blake Karlsson,blake.karlsson+100024@example.com,3,Offers tailored just for you,promo,2025-12-26,,,False,500024.0,2026-03-06,25.61
100025,Morgan Berg,morgan.berg+100025@example.com,5,Our monthly newsletter,marketing,2026-10-12,,,True,500025.0,2026-11-11,53.14
100026,Jamie Wilson,jamie.wilson+100026@example.com,4,Thanks for choosing us,transactional,2026-01-09,2026-01-10,2026-01-10,False,,,
ABC,Cameron Martin,cameron.martin+100027@example.com,3,Offers tailored just for you,promo,2025-11-25,,,False,,,
100028,Reese Nilsson,reese.nilsson+100028@example.com,2,You almost completed your order,abandoned cart,2025-08-19,2025-08-19,,False,500028.0,2025-11-01,27.13
100029,Reese Clark,reese.clark+100029@example.com,5,Our monthly newsletter,newsletter,2025-05-03,,,True,500029.0,2025-05-26,20.56
100030,Taylor Johansson,taylor.johansson+100030@example.com,2,You almost completed your order,abandoned cart,2025-11-10,,,False,500030.0,2026-01-25,100.09
100031,Jordan Johansson,jordan.johansson+100031@example.com,4,Thanks for choosing us,transactional,2026-05-26,2026-05-28,2026-05-28,False,500031.0,2026-07-15,39.48
100032,Casey Hansen,casey.hansen+100032@example.com,4,Thanks for choosing us,transactional,2025-09-03,,,False,500032.0,2025-11-21,46.39
100033,Emerson Larsson,emerson.larsson+100033@example.com,1,Welcome to the club,welcome,2026-02-22,2026-02-24,,False,,,
100034,Robin Hansen,robin.hansen+100034@example.com,2,You almost completed your order,abandoned cart,2025-12-07,2025-12-07,,False,500034.0,2026-03-01,20.42
100035,Morgan Nilsson,morgan.nilsson+100035@example.com,3,Offers tailored just for you,promo,2025-03-31,,,False,500035.0,2025-05-06,33.13
100036,Finley Eriksson,finley.eriksson+100036@example.com,3,Offers tailored just for you,promo,2025-06-08,,,False,500036.0,2025-07-10,47.51
100037,Jordan Johansson,jordan.johansson+100037@example.com,4,Thanks for choosing us,transactional,2026-10-07,2026-10-07,,False,500037.0,2026-12-02,23.74
100038,,dakota.wilson+100038@example.com,5,Our monthly newsletter,newsletter,2025-01-08,,,False,,,
100039,Casey Lewis,casey.lewis+100039@example.com,1,Welcome to the club,welcome,2026-10-11,2026-10-13,2026-10-14,False,500039.0,2026-10-16,54.96
100040,Robin Eriksson,robin.eriksson+100040@example.com,2,You almost completed your order,abandoned cart,2026-06-03,,,False,,,
100041,Blake Nilsson,blake.nilsson+100041@example.com,2,You almost completed your order,abandoned cart,2026-11-03,,,False,500041.0,2026-12-25,32.13
100042,Alex Karlsson,alex.karlsson+100042@example.com,3,Offers tailored just for you,promo,2026-08-31,,,False,,,
100043,Avery Svensson,avery.svensson+100043@example.com,2,You almost completed your order,abandoned cart,2026-09-04,2026-09-04,,False,500043.0,2026-11-01,38.08
100044,Robin Hansen,robin.hansen+100044@example.com,2,You almost completed your order,abandoned cart,2025-06-23,,,True,500044.0,2025-08-04,32.11
100045,Cameron Johansson,cameron.johansson+100045@example.com,3,Offers tailored just for you,promo,2025-09-30,2025-10-02,,False,500045.0,2025-11-02,123.81
100046,Jamie Svensson,jamie.svensson+100046@example.com,1,Welcome to the club,welcome,2025-03-26,2025-03-27,,False,,,
100047,Morgan Brown,morgan.brown+100047@example.com,5,Our monthly newsletter,newsletter,2025-05-28,2025-05-28,,False,,,
100048,Riley Smith,riley.smith+100048@example.com,4,Thanks for choosing us,transactional,2025-02-24,,,False,,,
100049,Morgan Hansen,morgan.hansen+100049@example.com,5,Our monthly newsletter,newsletter,2025-08-29,2025-08-30,,False,500049.0,2025-11-22,44.37
100050,Quinn Karlsson,quinn.karlsson+100050@example.com,5,Our monthly newsletter,newsletter,2026-03-19,2026-03-19,2026-03-19,False,500050.0,2026-06-01,24.98
100051,Finley Müller,finley.müller+100051@example.com,4,Thanks for choosing us,transactional,2025-12-10,2025-12-12,,False,,,
100052,Jamie Johansson,jamie.johansson+100052@example.com,3,Offers tailored just for you,promo,2026-02-05,2026-02-05,,False,,,
100053,Drew Lindberg,drew.lindberg+100053@example.com,2,You almost completed your order,abandoned cart,2025-04-25,,,True,500053.0,2025-06-24,70.27
-25,Finley Johansson,finley.johansson+100054@example.com,4,Thanks for choosing us,transactional,2025-11-18,2025-11-21,,False,500054.0,2026-02-09,22.84
100055,Alex Larsson,alex.larsson+100055@example.com,4,Thanks for choosing us,transactional,2025-06-19,,,False,500055.0,2025-06-25,50.14
100056,Dakota Lindberg,dakota.lindberg+100056@example.com,1,Welcome to the club,welcome,2025-12-21,2025-12-23,,False,,,
100057,Finley Clark,finley.clark+100057@example.com,4,Thanks for choosing us,transactional,2026-10-08,2026-10-09,,False,500057.0,2026-11-10,15.21
100058,Avery Svensson,avery.svensson+100058@example.com,5,Our monthly newsletter,newsletter,2026-01-12,2026-01-12,,False,500058.0,2026-02-23,21.53
100059,Sam Lewis,sam.lewis+100059@example.com,1,Welcome to the club,welcome,2025-04-18,2025-04-19,,False,500059.0,2025-06-09,USD 75.00
100060,Sam Lewis,sam.lewis+100060@example.com,4,Thanks for choosing us,transactional,2025-11-19,,,False,500060.0,2026-02-01,67.1
100061,Alex Brown,alex.brown+100061@example.com,4,Thanks for choosing us,transactional,2025-01-05,2025-01-07,,False,,,
100062,Blake Lewis,blake.lewis+100062@example.com,5,Our monthly newsletter,newsletter,2026-09-14,2026-09-15,2026-09-16,False,500062.0,2026-10-27,49.12
100063,Quinn Karlsson,quinn.karlsson+100063@example.com,4,Thanks for choosing us,transactional,2026-12-16,2026-12-16,,False,,,
100064,Alex Johansson,alex.johansson+100064@example.com,4,Thanks for choosing us,transactional,2025-04-16,2025-04-17,2025-04-18,False,500064.0,2025-05-29,-1.50
100065,Quinn Svensson,quinn.svensson+100065@example.com,4,Thanks for choosing us,transactional,2025-07-15,2025-07-16,,False,500065.0,2025-10-06,37.88
100066,Taylor Berg,taylor.berg+100066@example.com,1,Welcome to the club,welcome,2025-07-12,2025-07-12,2025-07-14,False,,,
100067,Emerson Eriksson,emerson.eriksson+100067@example.com,4,Thanks for choosing us,transactional,2026-06-28,2026-06-28,,False,500067.0,2026-08-06,19.82
100068,Morgan Andersson,morgan.andersson+100068@example.com,3,Offers tailored just for you,promo,2026-03-24,,,False,500068.0,2026-04-18,30.09
100069,Taylor Lindberg,taylor.lindberg+100069@example.com,1,You almost completed your order,welcome,2026-06-26,,,False,,,
100070,Morgan Berg,morgan.berg+100070@example.com,3,Offers tailored just for you,promo,2026-02-18,2026-02-21,,False,500070.0,2026-04-12,34.7
100071,Reese Larsson,reese.larsson+100071@example.com,4,Thanks for choosing us,transactional,2025-10-09,,,False,,,
100072,Blake Karlsson,blake.karlsson+100072@example.com,5,Our monthly newsletter,newsletter,2026-05-21,,,False,500072.0,2026-07-21,79.95
100073,Parker Wilson,parker.wilson+100073@example.com,5,Our monthly newsletter,newsletter,2025-07-28,2025-07-28,2025-07-30,False,500073.0,2025-09-25,54.0
100074,Emerson Brown,emerson.brown+100074@example.com,3,Offers tailored just for you,promo,2025-01-23,2025-01-26,2025-01-26,False,500074.0,2025-04-09,16.95
100075,Cameron Lewis,cameron.lewis+100075@example.com,1,Welcome to the club,welcome,2026-02-06,2026-02-08,,False,900075.0,2026-02-06,-1.50
100076,Reese Taylor,reese.taylor+100076@example.com,4,Thanks for choosing us,transactional,2026-09-08,,,True,500076.0,2026-10-29,53.42
100077,Avery Hansen,avery.hansen+100077@example.com,5,Our monthly newsletter,newsletter,2025-10-14,2025-10-14,,False,500077.0,2025-11-28,36.17
100078,Parker Svensson,parker.svensson+100078@example.com,3,Offers tailored just for you,promo,2025-07-15,,,False,500078.0,2025-09-21,30.81
100079,Jamie Eriksson,jamie.eriksson+100079@example.com,2,You almost completed your order,abandoned cart,2026-07-28,,,False,920079.0,2026-07-21,
100080,Charlie Hansen,charlie.hansen+100080@example.com,1,Welcome to the club,welcome,2026-10-09,2026-10-10,2026-10-12,False,500080.0,2026-10-14,62.58
100081,Jordan Lewis,jordan.lewis+100081@example.com,3,Offers tailored just for you,promo,2026-06-26,2026-06-29,2026-06-29,False,500081.0,2026-08-25,78.81
100082,Reese Martin,reese.martin+100082@example.com,3,Offers tailored just for you,promo,2025-05-24,2025-05-26,2025-05-27,False,500082.0,2025-06-02,74.6
100083,Emerson Berg,emerson.berg+100083@example.com,2,You almost completed your order,abandoned cart,2025-04-26,,,False,500004.0,2025-05-27,28.17
100084,Morgan Lewis,morgan.lewis+100084@example.com,4,Thanks for choosing us,transactional,2026-04-16,2026-04-19,,False,,,
-25,Drew Wilson,drew.wilson+100085@example.com,3,Offers tailored just for you,promo,2026-03-18,2026-03-19,,False,500085.0,2026-04-14,37.71
100086,Cameron Johansson,cameron.johansson+100086@example.com,2,You almost completed your order,abandoned cart,2025-07-06,2025-07-06,,False,,,
100087,Reese Hansen,reese.hansen+100087@example.com,1,Welcome to the club,welcome,2025-06-29,2025-07-02,2025-07-03,False,920087.0,2025-05-30,
100088,Emerson Eriksson,emerson.eriksson+100088@example.com,4,Thanks for choosing us,transactional,2025-03-31,2025-04-01,,False,500088.0,2025-04-21,53.63
100089,Drew Hansen,drew.hansen+100089@example.com,4,Thanks for choosing us,transactional,2025-04-07,2025-04-09,,False,500089.0,2025-06-09,76.44
100090,Parker Johansson,parker.johansson+100090@example.com,5,Our monthly newsletter,newsletter,2025-01-31,,,False,920090.0,,
100091,Alex Johansson,alex.johansson+100091@example.com,2,You almost completed your order,abandoned cart,2026-06-08,2026-06-08,,False,,,
100092,Cameron Berg,cameron.berg+100092@example.com,2,You almost completed your order,abandoned cart,2026-01-01,2026-01-03,2026-01-04,False,500092.0,2026-03-04,
100093,Taylor Taylor,taylor.taylor+100093@example.com,3,Offers tailored just for you,promo,2025-11-14,2025-11-15,2025-11-17,False,500093.0,2026-02-06,40.36
100094,Quinn Lewis,quinn.lewis+100094@example.com,1,Welcome to the club,welcome,2025-12-20,2025-12-20,,False,500094.0,2026-02-23,24.33
100095,Alex Lewis,alex.lewis+100095@example.com,4,Thanks for choosing us,transactional,2025-11-17,,,True,500095.0,2026-02-04,23.15
100096,Reese Martin,reese.martin+100096@example.com,1,Welcome to the club,welcome,2025-06-08,2025-06-09,,yes,,,
100097,Morgan Andersson,morgan.andersson+100097@example.com,5,Our monthly newsletter,newsletter,2026-09-13,2026-09-13,,False,500097.0,2026-09-27,69.89
100098,Parker Larsson,parker.larsson+100098@example.com,2,You almost completed your order,abandoned cart,2026-01-23,2026-01-24,,False,500098.0,2026-03-24,94.25
100099,Avery Martin,avery.martin+100099@example.com,5,Our monthly newsletter,newsletter,2025-04-23,,,False,500099.0,2025-05-10,42.97
100100,Taylor Svensson,taylor.svensson+100100@example.com,4,Thanks for choosing us,transactional,2025-09-21,2025-09-22,2025-09-22,False,,,
100101,Emerson Taylor,emerson.taylor+100101@example.com,2,You almost completed your order,abandoned cart,2025-12-13,2025-12-15,,False,500101.0,2026-01-06,77.63
100102,Avery Brown,avery.brown+100102@example.com,2,Offers tailored just for you,abandoned cart,2026-10-27,2026-10-30,,False,,,
100103,Quinn Nilsson,quinn.nilsson+100103@,4,Thanks for choosing us,transactional,2025-01-29,,,False,500103.0,2025-02-10,54.54
100104,Parker Larsson,parker.larsson+100104@example.com,5,Our monthly newsletter,newsletter,2026-12-09,,,False,500104.0,2027-03-02,31.35
100105,Casey Johansson,casey.johansson+100105@example.com,4,Thanks for choosing us,transactional,2026-08-31,2026-09-02,,False,,,
100106,Dakota Brown,dakota.brown+100106@example.com,3,Offers tailored just for you,promo,2026-05-02,,,False,,,
100107,Jordan Johansson,jordan.johansson+100107@example.com,2,You almost completed your order,abandoned cart,2026-05-06,2026-05-07,,False,500107.0,2026-05-18,54.53
100108,Morgan Martin,morgan.martin+100108@example.com,2,You almost completed your order,abandoned cart,2026-06-24,2026-06-25,,False,500108.0,2026-08-10,104.16
100109,Blake Nilsson,blake.nilsson+100109@example.com,2,You almost completed your order,abandoned cart,2026-02-17,2026-02-18,2026-02-18,False,,,
100110,Quinn Lindberg,quinn.lindberg+100110@example.com,4,Thanks for choosing us,transactional,2026-12-11,2026-12-12,,False,900110.0,2026-12-11,49.99
100111,Parker Hansen,parker.hansen+100111@example.com,5,Our monthly newsletter,newsletter,2025-05-03,,,False,,,
100112,Drew Wilson,drew.wilson+100112@example.com,3,Offers tailored just for you,promo,2025-12-21,2025-12-24,,False,500112.0,2026-02-07,43.83
100113,Emerson Smith,emerson.smith+100113@example.com,5,Our monthly newsletter,newsletter,2025-08-18,2025-08-21,2025-08-22,False,,,
