recipient_id,recipient_name,recipient_email,campaign_id,campaign_name,send_date,opened_date,clicked_date,bounced,transaction_id,transaction_date,transaction_amount,rejection_reason
1,Kenneth Davis,kenneth.davis1@example.com,3,,2026-05-06,2026-05-07,,False,1,2026-05-08,297.29,"col: recipient_id, broken check: campaign_id inconsistent with campaign_name; col: campaign_name, broken check: not_nullable (got: nan)"
5,Melissa Jones,melissa.jones5@example.com,2,You almost completed your order,2026-05-29,,,False,5,2026-06-01,0.0,"col: transaction_amount, broken check: is_valid_amount (got: 0.0)"
6,,sandra.white6@mailtest.com,3,Offers tailored just for you,2026-07-01,2026-07-05,,False,6,2026-07-03,306.52,"col: recipient_name, broken check: not_nullable (got: nan)"
11,Margaret Hill,margaret.hill11@example.com,4,Thanks for choosing us,2026-07-15,2026-07-22,,False,67,2026-07-15,341.74,"col: transaction_id, broken check: field_uniqueness (got: 67)"
13,Timothy Lopez,timothy.lopez13@example.com,3,Offers tailored just for you,2026-11-24,2026-11-20,2026-11-28,False,13,2026-11-24,301.48,"col: clicked_date, broken check: opened_at before send_date"
17,Emily Anderson,emily.anderson17demoinbox.com,1,Welcome to the club,2026-02-06,,,False,17,2026-02-08,453.18,"col: recipient_email, broken check: str_matches('^[^@\s]+@[^@\s]+\.[a-zA-Z]{2,}$') (got: emily.anderson17demoinbox.com)"
21,Richard Wright,richard.wright21@sampleco.net,2,You almost completed your order,2026-08-05,2026-08-12,2026-08-12,False,21,2026-08-03,30.04,"col: recipient_name, broken check: transaction_date before send_date"
22,Paul Smith,paul.smith22@example.com,2,You almost completed your order,2026-03-27,,2026-03-29,False,22,2026-04-01,192.59,"col: recipient_id, broken check: clicked_at before opened_at"
23,Matthew Taylor,matthew.taylor23@sampleco.net,3,Offers tailored just for you,2026-08-05,,,False,23,2026-08-20,-59.41,"col: transaction_amount, broken check: is_valid_amount (got: -59.41)"
26,Anthony Nguyen,anthony.nguyen26@demoinbox.com,3,Offers tailored just for you,2026-04-15,,,False,48,2026-04-23,200.91,"col: transaction_id, broken check: field_uniqueness (got: 48)"
31,Patricia Garcia,patricia.garcia31@sampleco.net,3,Offers tailored just for you,2026-01-23,2026-01-25,,False,-222,2026-02-06,278.08,"col: transaction_id, broken check: is_valid_id (got: -222)"
33,Lisa Nguyen,lisa.nguyen33@mailtest.com,4,You almost completed your order,2026-03-07,2026-03-12,,False,33,2026-03-08,449.97,"col: recipient_name, broken check: campaign_id inconsistent with campaign_name"
36,,brian.miller36@sampleco.net,1,Welcome to the club,2026-08-29,2026-09-05,2026-09-06,False,36,2026-09-04,202.24,"col: recipient_name, broken check: not_nullable (got: nan)"
37,Sarah Jones,sarah.jones37@demoinbox.com,3,Offers tailored just for you,2026-11-25,2026-12-05,,yes,37,2026-11-25,62.09,"col: bounced, broken check: isin(['True', 'False']) (got: yes)"
40,Robert Perez,robert.perez40demoinbox.com,1,Welcome to the club,2026-06-03,2026-06-13,2026-06-16,False,40,2026-06-07,99.96,"col: recipient_email, broken check: str_matches('^[^@\s]+@[^@\s]+\.[a-zA-Z]{2,}$') (got: robert.perez40demoinbox.com)"
41,Kevin Harris,kevin.harris41@mailtest.com,5,Welcome to the club,2026-10-19,2026-10-27,,False,41,2026-10-25,217.79,"col: recipient_id, broken check: campaign_id inconsistent with campaign_name"
46,Sandra King,sandra.king46@demoinbox.com,4,Thanks for choosing us,2026-11-10,,,False,46,2026-11-23,-272.41,"col: transaction_amount, broken check: is_valid_amount (got: -272.41)"
48,Sarah Lewis,sarah.lewis48@example.com,3,Offers tailored just for you,2026-05-01,2026-05-06,,False,48,2026-05-05,119.47,"col: transaction_id, broken check: field_uniqueness (got: 48)"
52,Sandra Rodriguez,sandra.rodriguez52@example.com,-793,Thanks for choosing us,2026-10-31,2026-10-31,2026-11-03,False,52,2026-11-14,94.96,"col: recipient_id, broken check: campaign_id inconsistent with campaign_name; col: campaign_id, broken check: is_valid_id (got: -793)"
57,Michael Nguyen,michael.nguyen57@example.com,-880,Offers tailored just for you,2026-10-22,,,False,57,2026-11-03,471.03,"col: recipient_id, broken check: campaign_id inconsistent with campaign_name; col: campaign_id, broken check: is_valid_id (got: -880)"
58,Richard Jones,richard.jones58@mailtest.com,1,Welcome to the club,2026-06-04,,,False,58,2026-06-07,399.13,"col: transaction_id, broken check: field_uniqueness (got: 58)"
64,Mary Garcia,mary.garcia64@demoinbox.com,2,You almost completed your order,2026-07-27,,,true_ish,64,2026-08-07,239.26,"col: bounced, broken check: isin(['True', 'False']) (got: true_ish)"
65,Kimberly Thompson,kimberly.thompson65@sampleco.net,5,Offers tailored just for you,2026-06-19,2026-06-26,2026-06-28,False,65,2026-06-25,161.2,"col: recipient_id, broken check: campaign_id inconsistent with campaign_name"
66,Deborah Wright,deborah.wright66@mailtest.com,2,You almost completed your order,2026-04-21,2026-04-17,2026-04-17,False,66,2026-04-30,490.35,"col: opened_date, broken check: opened_at before send_date"
67,Richard Jackson,richard.jackson67@mailtest.com,3,Offers tailored just for you,2026-04-02,2026-04-10,2026-04-10,False,67,2026-04-11,350.22,"col: transaction_id, broken check: field_uniqueness (got: 67)"
71,Mark Martin,mark.martin71@sampleco.net,3,Offers tailored just for you,2026-10-19,2026-10-26,2026-10-25,False,71,2026-10-25,314.63,"col: recipient_id, broken check: clicked_at before opened_at"
76,Mary Garcia,mary.garcia76@mailtest.com,5,Our monthly newsletter,2026-10-28,,,False,58,2026-11-05,290.24,"col: transaction_id, broken check: field_uniqueness (got: 58)"
80,Paul Robinson,paul.robinson80@sampleco.net,1,Welcome to the club,2026-04-07,2026-04-16,,maybe,80,2026-04-08,105.76,"col: bounced, broken check: isin(['True', 'False']) (got: maybe)"
84,Jessica Robinson,jessica.robinson84@mailtest.com,4,Thanks for choosing us,2026-04-08,2026-04-07,2026-04-07,False,84,2026-04-12,432.69,"col: bounced, broken check: opened_at before send_date"
