recipient_id,recipient_name,recipient_email,campaign_id,campaign_name,send_date,opened_date,clicked_date,bounced,transaction_id,transaction_date,transaction_amount
2,John Johnson,john.johnson2@example.com,2,You almost completed your order,2026-04-30,2026-04-30,,False,2,2026-05-13,114.12
3,Donna Moore,donna.moore3@example.com,2,You almost completed your order,2026-08-05,2026-08-07,2026-08-09,False,3,2026-08-17,52.87
4,Daniel Hill,daniel.hill4@demoinbox.com,1,Welcome to the club,2026-08-24,2026-08-30,2026-09-01,False,4,2026-09-04,290.79
7,David Wright,david.wright7@mailtest.com,2,You almost completed your order,2026-08-25,2026-09-04,,False,7,2026-09-04,422.21
8,Stephanie Brown,stephanie.brown8@mailtest.com,1,Welcome to the club,2026-06-11,2026-06-12,2026-06-16,False,8,2026-06-21,110.25
9,Ashley Sanchez,ashley.sanchez9@sampleco.net,2,You almost completed your order,2026-05-16,2026-05-24,,False,9,2026-05-29,449.42
10,Betty White,betty.white10@mailtest.com,2,You almost completed your order,2026-09-18,2026-09-18,,False,10,2026-09-23,397.08
12,Linda Wright,linda.wright12@demoinbox.com,3,Offers tailored just for you,2026-02-27,2026-03-01,2026-03-06,False,12,2026-03-07,486.08
14,Ashley Johnson,ashley.johnson14@example.com,3,Offers tailored just for you,2026-06-07,2026-06-10,,False,14,2026-06-09,367.29
15,Robert Wright,robert.wright15@mailtest.com,2,You almost completed your order,2026-09-01,,,False,15,2026-09-14,482.36
16,Paul Gonzalez,paul.gonzalez16@demoinbox.com,4,Thanks for choosing us,2026-07-11,2026-07-19,2026-07-20,False,16,2026-07-21,15.41
18,Nancy Jones,nancy.jones18@mailtest.com,3,Offers tailored just for you,2026-09-06,2026-09-08,,False,18,2026-09-21,125.28
19,Donald Clark,donald.clark19@mailtest.com,1,Welcome to the club,2026-02-19,,,False,19,2026-03-04,236.18
20,George Brown,george.brown20@example.com,1,Welcome to the club,2026-07-26,,,False,20,2026-07-29,128.08
24,Charles Wilson,charles.wilson24@example.com,5,Our monthly newsletter,2026-10-05,2026-10-10,2026-10-14,False,24,2026-10-10,33.16
25,Steven Garcia,steven.garcia25@mailtest.com,1,Welcome to the club,2026-11-01,2026-11-04,2026-11-08,False,25,2026-11-02,311.59
27,Kevin Martin,kevin.martin27@sampleco.net,3,Offers tailored just for you,2026-02-07,2026-02-16,,False,27,2026-02-09,271.13
28,Steven Taylor,steven.taylor28@mailtest.com,3,Offers tailored just for you,2026-02-05,,,False,28,2026-02-10,221.9
29,Paul Martin,paul.martin29@example.com,5,Our monthly newsletter,2026-06-03,,,False,29,2026-06-07,135.91
30,Michael Scott,michael.scott30@mailtest.com,3,Offers tailored just for you,2026-05-25,2026-05-30,2026-06-04,False,30,2026-06-09,129.31
32,Margaret Scott,margaret.scott32@example.com,1,Welcome to the club,2026-02-08,,,False,32,2026-02-12,275.07
34,Susan Thomas,susan.thomas34@example.com,3,Offers tailored just for you,2026-10-14,,,False,34,2026-10-18,463.25
35,Jessica Hernandez,jessica.hernandez35@mailtest.com,4,Thanks for choosing us,2026-01-13,2026-01-18,,False,35,2026-01-20,137.07
38,Thomas Lopez,thomas.lopez38@demoinbox.com,1,Welcome to the club,2026-02-25,2026-03-02,,False,38,2026-02-28,195.67
39,Andrew Gonzalez,andrew.gonzalez39@demoinbox.com,1,Welcome to the club,2026-08-12,2026-08-20,,False,39,2026-08-18,185.29
42,Donna Hill,donna.hill42@demoinbox.com,4,Thanks for choosing us,2026-08-15,2026-08-18,,False,42,2026-08-20,331.13
43,Charles Allen,charles.allen43@demoinbox.com,1,Welcome to the club,2026-05-01,,,False,43,2026-05-07,77.94
44,John Thomas,john.thomas44@sampleco.net,5,Our monthly newsletter,2026-02-07,2026-02-17,,False,44,2026-02-19,249.72
